X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,Energy,Hx,Hy,Hz,Sail_X,Sail_Y,Sail_Z
149753761.68206367,-198780147.92471215,281646.2281481609,85.43354050400941,-110463.21867392528,156.4927872835497,6101076701.098012,3889483.2420272827,-23411321537.382286,-16525300032109.572,-0.5037782121114966,0.6456197177207916,-0.573918716450221
150061391.46836498,-596447641.9710131,844971.0716601347,85.4623679314552,-110463.18006944477,156.4722367461287,6101072753.435838,10695001.106628418,-23408228343.673847,-16525284679411.469,0.6465020898288704,0.6130562163859926,-0.4540893341594737
150369069.01488504,-994115097.3101661,1408285.0327337505,85.4685565298653,-110463.1834416534,156.478841876699,6101073211.286764,5668789.766418457,-23409213684.596268,-16525280472150.24,0.5818254383024031,-0.5330457760445143,0.6142811733931928
150676754.774121,-1391782548.7128448,1971615.1810377184,85.46803594060029,-110463.17895337839,156.48199735230557,6101072753.143123,1967467.4985351562,-23409689464.46403,-16525280405833.146,-0.10600555696316667,0.7348249613223886,0.6699217104337484
150984438.6995164,-1789449988.3127055,2534953.994079997,85.46752164719729,-110463.17657913505,156.48385418965927,6101072512.022371,-960382.7705078125,-23409970654.99899,-16525280857153.576,-0.19163983803796744,0.6833703538768631,0.7044708169392062
151292120.64197275,-2187117425.0008955,3098293.361925964,85.46693054218873,-110463.17710160486,156.48254867242903,6101072582.84795,1619441.1342163086,-23409775008.549458,-16525282103501.441,-0.3483542635292958,-0.5270720850610642,-0.7751414865883157
151599802.99876663,-2584784860.6294475,3661629.6380027235,85.46767093877453,-110463.17608218771,156.4820755107747,6101072479.507994,2739710.3276367188,-23409700863.271088,-16525280190761.922,0.6364337519322613,0.6564911222505994,-0.40493392770620446
151907485.71824843,-2982452293.112797,4224964.280231766,85.46719592358066,-110463.1753332028,156.48163560900636,6101072403.478777,3957111.6384887695,-23409635976.534588,-16525281394852.674,-0.5521654933809583,0.6572987180172708,-0.5129051210625756
152215168.46386883,-3380119723.7695804,4788297.315739663,85.46764407285968,-110463.17504376182,156.48118087385313,6101072376.690601,5398679.659118652,-23409564817.442017,-16525279928865.244,0.6850163702939925,0.2248241201441734,-0.6929694707782169
152522852.88819295,-3777787153.8809958,5351629.859206023,85.46812923952952,-110463.17501905459,156.48133746683257,6101072378.149143,4839270.356323242,-23409586221.752636,-16525278192286.637,0.938076809820267,-0.16872066373961694,0.30256443364132146
152830538.55085015,-4175454583.377833,5914962.137374457,85.46834289414988,-110463.17471166917,156.4810489217434,6101072347.505879,5983061.638427734,-23409540967.54894,-16525277297149.965,0.510720534371778,0.5162935771823824,-0.6874630738674077
153138224.0931382,-4573122012.551012,6478294.135360199,85.46807754224045,-110463.17482553354,156.48116855308828,6101072362.838578,5461185.689086914,-23409560910.736553,-16525278473693.22,-0.76411019105001,-0.5448234536497198,0.3454026929349408
153445908.7235146,-4970789442.066386,7041626.193915208,85.46783496985206,-110463.17490307492,156.48108842705275,6101072373.68886,5843624.279052734,-23409550266.27282,-16525279641782.45,-0.8316223821710621,-0.4825836521057204,-0.2748039886763525
