X_km,Y_km,Z_km,VX_km_s,VY_km_s,VZ_km_s,Energy,Hx,Hy,Hz,Sail_X,Sail_Y,Sail_Z
149599999.99988458,107207.99999997245,0.0,-6.411755867767143e-08,29.779999999977026,0.0,443.4215355585441,0.0,-0.0,4455088000.0,-1.0,0.0,0.0
149599999.99953833,214415.99999977945,0.0,-1.2823501857106278e-07,29.779999999908103,0.0,443.4215355585441,0.0,-0.0,4455087999.999999,-0.9999997432200923,-0.0007166308320267034,0.0
149599999.99896127,321623.99999925564,0.0,-1.923522808966549e-07,29.779999999793233,0.0,443.4215355585441,0.0,-0.0,4455087999.999999,-0.9999989728815561,-0.0014332605599586422,0.0
149599999.9981534,428831.9999982356,0.0,-2.564692468724506e-07,29.779999999632416,0.0,443.42153555854424,0.0,-0.0,4455088000.0,-0.9999976889879519,-0.002149888079709558,0.0
149599999.9971147,536039.9999965539,0.0,-3.205858177187355e-07,29.77999999942565,0.0,443.42153555854424,0.0,-0.0,4455087999.999999,-0.999995891545214,-0.0028665122872102017,0.0
149599999.99584517,643247.9999940451,0.0,-3.8470189465883905e-07,29.77999999917294,0.0,443.4215355585442,0.0,-0.0,4455087999.999999,-0.9999935805616498,-0.0035831320784168387,0.0
149599999.99434483,750455.9999905439,0.0,-4.488173789198952e-07,29.779999998874285,0.0,443.4215355585443,0.0,-0.0,4455088000.0,-0.9999907560479404,-0.0042997463493197555,0.0
149599999.99261367,857663.9999858849,0.0,-5.129321717336033e-07,29.779999998529686,0.0,443.4215355585443,0.0,-0.0,4455087999.999999,-0.9999874180171405,-0.0050163539959517615,0.0
149599999.99065173,964871.9999799025,0.0,-5.770461743369886e-07,29.779999998139143,0.0,443.4215355585443,0.0,-0.0,4455088000.0,-0.9999835664846775,-0.00573295391439669,0.0
149599999.98845896,1072079.9999724315,0.0,-6.41159287973163e-07,29.77999999770266,0.0,443.4215355585443,0.0,-0.0,4455088000.0,-0.9999792014683518,-0.006449545000797905,0.0
149599999.98603538,1179287.9999633064,0.0,-7.052714138920858e-07,29.77999999722024,0.0,443.4215355585442,0.0,-0.0,4455088000.0,-0.9999743229883368,-0.007166126151366797,0.0
149599999.983381,1286495.999952362,0.0,-7.693824533513232e-07,29.779999996691885,0.0,443.4215355585442,0.0,-0.0,4455087999.999999,-0.9999689310671781,-0.007882696262391289,0.0
149599999.98049584,1393703.9999394328,0.0,-8.334923076168095e-07,29.779999996117596,0.0,443.42153555854424,0.0,-0.0,4455088000.0,-0.9999630257297935,-0.008599254230244326,0.0
149599999.97737986,1500911.9999243536,0.0,-8.976008779636064e-07,29.779999995497377,0.0,443.42153555854424,0.0,-0.0,4455087999.999999,-0.9999566070034726,-0.00931579895139238,0.0
149599999.9740331,1608119.9999069588,0.0,-9.617080656766635e-07,29.77999999483123,0.0,443.4215355585442,0.0,-0.0,4455087999.999999,-0.9999496749178765,-0.010032329322403943,0.0
149599999.97045556,1715327.9998870832,0.0,-1.0258137720515777e-06,29.77999999411916,0.0,443.42153555854424,0.0,-0.0,4455088000.0,-0.9999422295050374,-0.010748844239958016,0.0
149599999.96664724,1822535.9998645615,0.0,-1.0899178983953527e-06,29.779999993361166,0.0,443.42153555854424,0.0,-0.0,4455088000.0,-0.9999342707993586,-0.011465342600852607,0.0
149599999.96260816,1929743.9998392283,0.0,-1.1540203460271584e-06,29.779999992557254,0.0,443.4215355585443,0.0,-0.0,4455088000.0,-0.999925798837613,-0.012181823302013214,0.0
149599999.9583383,2036951.9998109185,0.0,-1.2181210162790902e-06,29.779999991707427,0.0,443.42153555854424,0.0,-0.0,4455087999.999999,-0.9999168136589437,-0.012898285240501317,0.0
149599999.95383766,2144159.9997794665,0.0,-1.2822198104969276e-06,29.779999990811692,0.0,443.42153555854424,0.0,-0.0,4455088000.0,-0.9999073153048629,-0.013614727313522857,0.0
149599999.9491063,2251367.9997447073,0.0,-1.346316630040893e-06,29.77999998987005,0.0,443.4215355585443,0.0,-0.0,4455088000.0,-0.9998973038192516,-0.01433114841843673,0.0
149599999.9441442,2358575.9997064755,0.0,-1.4104113762864098e-06,29.779999988882505,0.0,443.42153555854424,0.0,-0.0,4455088000.0,-0.9998867792483591,-0.015047547452763243,0.0
149599999.93895134,2465783.999664606,0.0,-1.4745039506248612e-06,29.779999987849063,0.0,443.42153555854424,0.0,-0.0,4455087999.999999,-0.9998757416408022,-0.01576392331419262,0.0
149599999.93352777,2572991.9996189335,0.0,-1.5385942544643472e-06,29.77999998676973,0.0,443.42153555854424,0.0,-0.0,4455087999.999999,-0.9998641910475646,-0.016480274900593436,0.0
149599999.92787346,2680199.999569293,0.0,-1.602682189230442e-06,29.77999998564451,0.0,443.4215355585443,0.0,-0.0,4455087999.999998,-0.9998521275219965,-0.017196601110021147,0.0
149599999.92198846,2787407.999515519,0.0,-1.6667676563669527e-06,29.779999984473406,0.0,443.42153555854424,0.0,-0.0,4455088000.0,-0.9998395511198136,-0.017912900840726487,0.0
149599999.91587275,2894615.9994574464,0.0,-1.7308505573366741e-06,29.779999983256424,0.0,443.4215355585442,0.0,-0.0,4455088000.0,-0.9998264618990964,-0.018629172991163973,0.0
149599999.90952635,3001823.99939491,0.0,-1.794930793622147e-06,29.779999981993573,0.0,443.42153555854424,0.0,-0.0,4455087999.999999,-0.9998128599202899,-0.019345416460000365,0.0
149599999.90294924,3109031.999327745,0.0,-1.8590082667264132e-06,29.779999980684856,0.0,443.4215355585442,0.0,-0.0,4455087999.999999,-0.9997987452462022,-0.020061630146123104,0.0
149599999.89614147,3216239.9992557857,0.0,-1.923082878173772e-06,29.77999997933028,0.0,443.42153555854435,0.0,-0.0,4455087999.999999,-0.999784117942004,-0.020777812948648774,0.0
149599999.88910306,3323447.999178868,0.0,-1.987154529510535e-06,29.77999997792985,0.0,443.4215355585443,0.0,-0.0,4455088000.0,-0.999768978075228,-0.021493963766931554,0.0
149599999.88183397,3430655.9990968257,0.0,-2.051223122305782e-06,29.779999976483573,0.0,443.42153555854424,0.0,-0.0,4455087999.999999,-0.9997533257157678,-0.02221008150057164,0.0
